Frequency,QPeak,Limit,Delta,Avg,Limit,Delta
,,55011bqp,,,55011bav,
[MHz],[dBµV],[dBµV],[dB],[dBµV],[dBµV],[dB]
0.150,22.50,61.00,-38.50,16.15,51.12,-34.97
0.200,24.00,61.00,-37.00,18.00,51.12,-33.12
0.270,26.50,61.00,-34.50,23.85,51.12,-27.27
0.274,28.06,61.00,-32.94,20.10,51.12,-31.02
0.400,25.00,61.00,-36.00,19.00,51.12,-32.12
0.480,23.00,61.00,-38.00,17.00,51.12,-34.12
0.542,19.00,56.00,-37.00,11.79,46.00,-34.21
0.600,18.00,56.00,-38.00,9.00,46.00,-37.00
0.778,21.13,56.00,-34.87,10.50,46.00,-35.50
0.900,17.00,56.00,-39.00,10.00,46.00,-36.00
0.980,16.00,56.00,-40.00,8.00,46.00,-38.00
1.162,15.60,56.00,-40.40,9.100,46.00,-36.90
1.500,14.00,56.00,-42.00,8.00,46.00,-38.00
2.500,13.00,56.00,-43.00,7.00,46.00,-39.00
4.000,12.00,56.00,-44.00,6.50,46.00,-39.50
4.800,11.00,56.00,-45.00,6.00,46.00,-40.00
6.000,14.00,60.00,-46.00,10.00,50.00,-40.00
7.500,15.00,60.00,-45.00,10.50,50.00,-39.50
8.500,15.50,60.00,-44.50,10.80,50.00,-39.20
9.798,16.87,60.00,-43.13,11.00,50.00,-39.00
9.842,16.00,60.00,-44.00,11.36,50.00,-38.64
10.500,20.00,60.00,-40.00,18.00,50.00,-32.00
12.000,29.10,60.00,-30.90,28.88,50.00,-21.12
15.000,22.00,60.00,-38.00,20.00,50.00,-30.00
18.000,21.00,60.00,-39.00,19.00,50.00,-31.00
19.500,20.00,60.00,-40.00,18.00,50.00,-32.00
20.000,20.81,60.00,-39.19,20.14,50.00,-29.86
22.000,18.00,60.00,-42.00,16.00,50.00,-34.00
25.000,19.00,60.00,-41.00,17.00,50.00,-33.00
28.000,18.50,60.00,-41.50,16.50,50.00,-33.50
30.000,17.00,60.00,-43.00,15.00,50.00,-35.00
