Harmonics,Ieff (A),% of limit,Limit (A)
1,0.215,-,-
2,0.003,0.245,1.080
3,0.182,7.924,2.300
4,0.003,0.624,0.430
5,0.172,15.061,1.140
6,0.003,1.090,0.300
7,0.157,20.37,0.770
8,0.002,1.072,0.230
9,0.138,34.61,0.400
10,0.002,1.287,0.184
11,0.118,35.69,0.330
12,0.002,1.250,0.153
13,0.097,45.97,0.210
14,0.001,1.0,0.1
15,0.001,1.0,0.1
16,0.001,1.0,0.1
17,0.001,1.0,0.1
18,0.001,1.0,0.1
19,0.001,1.0,0.1
20,0.001,1.0,0.1
21,0.001,1.0,0.1
22,0.001,1.0,0.1
23,0.001,1.0,0.1
24,0.001,1.0,0.1
25,0.001,1.0,0.1
26,0.001,1.0,0.1
27,0.001,1.0,0.1
28,0.001,1.0,0.1
29,0.001,1.0,0.1
30,0.001,1.0,0.1
31,0.001,1.0,0.1
32,0.001,1.0,0.1
33,0.001,1.0,0.1
34,0.001,1.0,0.1
35,0.001,1.0,0.1
36,0.001,1.0,0.1
37,0.001,1.0,0.1
38,0.001,1.0,0.1
39,0.001,1.0,0.1
40,0.001,1.0,0.1
